idConfiguration,ACK,BIB,BOLD_ACK,BREF,EMAIL,JS_FOOTNOTESIZE,JS_SCRIPTSIZE,JS_STYLE,JS_TINY,LONG_ACK,LONG_AFFILIATION,PARAGRAPH_ACK,PL_FOOTNOTE,VARY_LATEX,bref_size,cserver_size,vspace_bib,nbPages,sizePDF
1,"true","true","false","true","false","false","true","true","false","true","false","true","true","true",0.8,0.9,2.2,5,232
10,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",0.7,0.8,2.7,4,216
100,"true","true","false","true","false","false","true","true","false","true","true","true","true","true",0.9,0.7,1.9,4,224
101,"true","true","false","true","false","false","true","true","false","true","true","true","true","true",0.7,0.8,3.6,5,224
102,"true","true","false","true","false","false","true","true","false","false","true","true","true","true",0.7,0.6,3.3,5,224
103,"true","true","false","true","false","false","false","true","true","false","false","true","true","true",1.0,0.9,3.1,5,224
104,"true","true","false","true","false","false","false","true","true","false","true","true","true","true",1.0,0.8,1.6,5,224
105,"true","true","true","true","false","false","false","true","true","true","false","false","false","true",0.9,0.8,3.7,4,216
106,"true","true","true","true","false","false","false","true","true","true","false","false","true","true",0.9,0.8,4.5,4,216
107,"true","true","false","true","false","false","true","true","false","true","false","true","false","true",0.9,0.8,3.5,5,224
108,"true","true","true","true","true","false","false","true","true","true","true","false","false","true",1.0,0.9,4.4,4,224
109,"false","true","false","true","true","false","false","true","true","false","true","false","true","true",1.0,0.7,4.2,4,216
11,"true","true","true","true","false","false","true","true","false","false","true","false","true","true",1.0,0.6,3.1,5,224
110,"false","true","false","true","true","false","true","true","false","false","true","false","true","true",0.9,0.7,3.0,5,220
111,"true","true","true","true","false","false","true","true","false","false","false","false","true","true",1.0,0.7,1.0,5,220
112,"true","true","true","true","false","false","false","true","true","true","true","false","true","true",0.7,0.9,2.1,4,216
113,"true","true","true","true","false","false","true","true","false","false","true","false","false","true",1.0,0.7,2.8,5,220
114,"true","true","false","true","true","false","false","true","true","true","true","true","false","true",0.8,0.8,4.3,4,228
115,"true","true","true","true","false","false","true","true","false","false","false","false","true","true",0.7,0.8,2.0,5,224
116,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",1.0,0.7,1.8,4,216
117,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",0.8,0.7,3.1,4,220
118,"true","true","false","true","true","false","false","true","true","true","true","true","false","true",0.8,0.6,3.0,4,224
119,"true","true","true","true","false","false","false","true","true","true","false","false","false","true",0.7,0.8,1.3,4,224
12,"true","true","true","true","true","false","false","true","true","false","true","false","false","true",0.7,0.6,2.0,4,216
120,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",1.0,0.8,2.0,5,216
121,"false","true","false","true","false","false","false","true","true","false","false","false","false","true",0.7,0.9,3.9,4,220
122,"false","true","false","true","true","false","false","true","true","false","true","false","false","true",0.7,0.9,2.2,4,216
123,"true","true","true","true","true","false","true","true","false","false","true","false","true","true",0.9,0.9,3.8,5,224
124,"true","true","false","true","false","false","false","true","true","true","false","true","true","true",0.7,0.7,3.6,4,228
125,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",1.0,0.6,3.8,5,220
126,"false","true","false","true","false","false","false","true","true","false","false","false","false","true",0.8,0.7,1.3,4,220
127,"true","true","true","true","false","false","true","true","false","true","false","false","true","true",0.7,0.8,1.8,5,220
128,"true","true","true","true","false","false","true","true","false","false","false","false","true","true",1.0,0.6,3.1,5,216
129,"true","true","false","true","false","false","true","true","false","false","false","true","false","true",1.0,0.7,4.6,5,224
13,"true","true","true","true","true","false","false","true","true","true","true","false","true","true",0.7,0.6,3.3,4,220
130,"true","true","false","true","true","false","false","true","true","false","true","true","true","true",0.7,0.9,4.4,4,224
131,"false","true","false","true","false","false","false","true","true","false","true","false","false","true",1.0,0.8,3.4,4,220
132,"false","true","false","true","true","false","true","true","false","false","true","false","false","true",0.9,0.7,1.9,4,216
133,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",1.0,0.7,1.6,5,216
134,"false","true","false","true","true","false","true","true","false","false","true","false","false","true",0.9,0.7,4.2,4,216
135,"false","true","false","true","false","false","true","true","false","false","true","false","false","true",0.8,0.6,3.6,4,216
136,"true","true","true","true","false","false","true","true","false","false","false","false","true","true",0.8,0.8,3.3,5,216
137,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",0.9,0.8,1.0,4,224
138,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",0.8,0.8,3.6,5,216
139,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",0.7,0.9,4.7,4,216
14,"true","true","false","true","true","false","false","true","true","true","true","true","true","true",0.9,0.9,2.6,5,228
140,"false","true","false","true","false","false","true","true","false","false","true","false","false","true",0.8,0.8,3.3,5,216
141,"true","true","true","true","false","false","false","true","true","true","false","false","true","true",0.9,0.7,3.2,4,224
142,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",1.0,0.6,2.1,4,216
143,"false","true","false","true","false","false","false","true","true","false","true","false","true","true",1.0,0.9,2.9,5,224
144,"false","true","false","true","false","false","false","true","true","false","true","false","true","true",1.0,0.6,3.8,4,220
145,"true","true","true","true","false","false","false","true","true","true","true","false","false","true",1.0,0.9,1.7,4,216
146,"true","true","true","true","true","false","true","true","false","false","true","false","false","true",0.8,0.9,1.0,5,220
147,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",0.7,0.9,2.6,5,216
148,"false","true","false","true","false","false","true","true","false","false","true","false","true","true",0.8,0.8,3.7,5,216
149,"true","true","true","true","false","false","true","true","false","true","true","false","false","true",0.7,0.8,2.9,5,216
15,"true","true","false","true","false","false","false","true","true","false","false","true","false","true",0.9,0.7,1.2,4,224
150,"true","true","true","true","true","false","true","true","false","false","true","false","false","true",0.9,0.9,4.8,5,220
151,"false","true","false","true","true","false","false","true","true","false","true","false","true","true",0.7,0.8,4.0,4,220
152,"false","true","false","true","false","false","true","true","false","false","true","false","true","true",0.7,0.8,5.0,5,220
153,"true","true","true","true","false","false","true","true","false","false","false","false","true","true",0.7,0.9,3.6,5,216
154,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",0.8,0.6,3.8,4,216
155,"false","true","false","true","true","false","true","true","false","false","true","false","true","true",1.0,0.9,2.2,5,220
156,"true","true","true","true","false","false","true","true","false","false","false","false","true","true",1.0,0.8,4.3,5,224
157,"true","true","true","true","false","false","true","true","false","false","false","false","false","true",0.7,0.9,4.3,5,216
158,"true","true","true","true","false","false","false","true","true","true","false","false","true","true",1.0,0.6,1.7,4,216
159,"true","true","true","true","false","false","true","true","false","false","false","false","false","true",0.8,0.9,3.0,5,216
16,"true","true","true","true","false","false","false","true","true","true","false","false","true","true",0.9,0.8,1.4,4,220
160,"false","true","false","true","true","false","true","true","false","false","true","false","false","true",0.8,0.8,4.0,5,216
161,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",1.0,0.8,3.8,5,216
162,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",0.9,0.7,2.9,4,216
163,"false","true","false","true","false","false","false","true","true","false","false","false","false","true",1.0,0.7,4.5,4,216
164,"false","true","false","true","true","false","false","true","true","false","true","false","true","true",0.7,0.9,1.3,4,224
165,"false","true","false","true","true","false","false","true","true","false","true","false","true","true",0.7,0.6,3.6,4,216
166,"true","true","false","true","false","false","true","true","false","false","false","true","false","true",0.9,0.7,4.4,5,224
167,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",1.0,0.6,4.0,5,216
168,"false","true","false","true","true","false","false","true","true","false","true","false","true","true",0.8,0.6,2.8,4,216
169,"true","true","true","true","false","false","false","true","true","false","false","false","true","true",0.9,0.9,2.8,4,224
17,"true","true","true","true","true","false","false","true","true","true","true","false","true","true",0.7,0.8,3.7,4,224
170,"false","true","false","true","true","false","true","true","false","false","true","false","true","true",0.8,0.8,3.5,5,220
171,"true","true","false","true","false","false","false","true","true","false","true","true","true","true",0.9,0.9,4.7,5,232
172,"true","true","true","true","false","false","true","true","false","false","false","false","true","true",0.9,0.6,4.6,5,216
173,"false","true","false","true","true","false","true","true","false","false","true","false","true","true",0.9,0.9,2.2,5,220
174,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",0.7,0.9,1.0,4,216
175,"false","true","false","true","false","false","false","true","true","false","false","false","false","true",0.8,0.9,4.4,4,216
176,"false","true","false","true","false","false","false","true","true","false","true","false","true","true",0.9,0.7,3.7,4,224
177,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",0.7,0.9,3.2,5,216
178,"true","true","true","true","false","false","true","true","false","true","false","false","false","true",0.7,0.6,2.4,4,216
179,"true","true","false","true","true","false","true","true","false","true","true","true","false","true",0.7,0.9,3.9,5,224
18,"true","true","true","true","false","false","false","true","true","false","true","false","true","true",0.7,0.6,2.7,4,224
180,"true","true","true","true","false","false","true","true","false","true","false","false","false","true",0.7,0.7,1.0,5,216
181,"true","true","false","true","true","false","false","true","true","true","true","true","true","true",0.9,0.6,2.2,4,224
182,"false","true","false","true","false","false","false","true","true","false","false","false","false","true",1.0,0.6,4.7,4,216
183,"true","true","true","true","true","false","false","true","true","false","true","false","true","true",0.9,0.9,4.6,4,220
184,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",0.7,0.9,1.5,5,216
185,"false","true","false","true","false","false","false","true","true","false","false","false","false","true",0.9,0.6,5.0,4,216
186,"true","true","false","true","true","false","true","true","false","true","true","true","true","true",0.9,0.9,4.4,5,228
187,"true","true","false","true","true","false","true","true","false","false","true","true","true","true",0.9,0.9,2.8,5,228
188,"true","true","true","true","false","false","true","true","false","true","false","false","false","true",0.7,0.7,3.2,4,216
189,"true","true","true","true","false","false","true","true","false","false","false","false","false","true",1.0,0.7,3.3,5,216
19,"true","true","false","true","true","false","true","true","false","true","true","true","true","true",0.7,0.6,3.0,5,228
190,"true","true","true","true","false","false","false","true","true","true","false","false","false","true",0.7,0.6,1.2,4,220
191,"true","true","false","true","false","false","true","true","false","true","false","true","true","true",0.9,0.9,1.5,5,224
192,"true","true","false","true","true","false","false","true","true","true","true","true","true","true",0.7,0.8,3.6,4,224
193,"false","true","false","true","false","false","false","true","true","false","true","false","true","true",1.0,0.9,3.7,5,216
194,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",0.7,0.6,2.4,4,220
195,"true","true","false","true","false","false","true","true","false","true","true","true","false","true",1.0,0.6,3.1,5,224
196,"true","true","true","true","true","false","false","true","true","true","true","false","false","true",1.0,0.7,1.9,4,216
197,"true","true","false","true","false","false","true","true","false","false","false","true","true","true",0.8,0.8,2.4,5,236
198,"false","true","false","true","false","false","false","true","true","false","true","false","false","true",1.0,0.6,3.8,4,216
199,"true","true","false","true","true","false","true","true","false","false","true","true","true","true",0.8,0.9,4.6,5,224
2,"false","true","false","true","false","false","false","true","true","false","true","false","false","true",0.7,0.7,1.2,4,220
20,"false","true","false","true","true","false","true","true","false","false","true","false","true","true",0.9,0.6,2.4,4,224
200,"true","true","false","true","false","false","true","true","false","true","false","true","true","true",0.7,0.8,4.7,5,236
201,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",1.0,0.9,3.6,5,216
202,"false","true","false","true","false","false","false","true","true","false","false","false","false","true",0.9,0.7,3.8,4,216
203,"false","true","false","true","true","false","false","true","true","false","true","false","false","true",0.9,0.9,4.6,4,216
204,"false","true","false","true","true","false","false","true","true","false","true","false","true","true",0.9,0.8,2.4,4,216
205,"false","true","false","true","false","false","false","true","true","false","false","false","false","true",0.7,0.8,3.4,4,216
206,"true","true","false","true","false","false","true","true","false","false","true","true","false","true",0.8,0.6,4.1,4,228
207,"true","true","true","true","true","false","true","true","false","false","true","false","false","true",1.0,0.8,2.6,5,220
208,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",0.8,0.8,3.9,5,220
209,"false","true","false","true","false","false","true","true","false","false","true","false","true","true",0.7,0.6,3.9,4,216
21,"true","true","true","true","false","false","true","true","false","true","false","false","false","true",0.8,0.9,1.4,5,216
210,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",0.9,0.9,2.8,5,216
211,"false","true","false","true","false","false","false","true","true","false","true","false","true","true",0.9,0.6,3.2,4,216
212,"true","true","true","true","false","false","true","true","false","false","true","false","false","true",0.7,0.9,3.1,5,224
213,"true","true","false","true","false","false","true","true","false","false","true","true","true","true",1.0,0.8,3.5,5,224
214,"true","true","false","true","true","false","true","true","false","false","true","true","true","true",1.0,0.7,2.0,5,224
215,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",0.9,0.7,2.0,4,216
216,"false","true","false","true","true","false","false","true","true","false","true","false","false","true",1.0,0.7,4.7,4,224
217,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",0.9,0.9,1.3,5,224
218,"false","true","false","true","true","false","true","true","false","false","true","false","true","true",0.7,0.6,1.7,4,220
219,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",0.9,0.6,4.3,4,224
22,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",0.9,0.7,1.1,4,216
220,"true","true","false","true","false","false","false","true","true","false","false","true","true","true",0.8,0.6,3.4,4,224
221,"true","true","true","true","false","false","true","true","false","false","true","false","true","true",0.7,0.7,2.8,5,220
222,"true","true","true","true","false","false","false","true","true","false","false","false","false","true",0.9,0.8,2.0,4,220
223,"true","true","false","true","true","false","false","true","true","false","true","true","true","true",0.7,0.7,4.4,4,224
224,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",1.0,0.7,4.8,5,220
225,"false","true","false","true","true","false","true","true","false","false","true","false","true","true",1.0,0.7,2.9,5,220
226,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",0.7,0.8,2.3,4,220
227,"true","true","false","true","false","false","false","true","true","false","false","true","false","true",0.8,0.6,1.4,4,224
228,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",0.7,0.9,3.4,5,216
229,"true","true","true","true","false","false","false","true","true","false","false","false","true","true",0.7,0.8,3.7,4,216
23,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",0.8,0.9,2.5,4,216
230,"true","true","true","true","false","false","false","true","true","false","false","false","true","true",0.8,0.9,4.8,4,220
231,"true","true","false","true","false","false","false","true","true","false","false","true","false","true",0.7,0.8,5.0,4,224
232,"true","true","false","true","false","false","true","true","false","false","true","true","false","true",0.9,0.9,4.2,5,224
233,"true","true","true","true","false","false","false","true","true","true","false","false","false","true",0.8,0.6,1.3,4,216
234,"true","true","false","true","false","false","true","true","false","false","false","true","false","true",0.8,0.6,4.3,4,228
235,"true","true","false","true","false","false","false","true","true","false","true","true","false","true",0.7,0.8,2.3,4,224
